# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.723342895507812500e+01,9.555338025093078613e-01,-1.378268282860517502e-02,-3.763970918953418732e-03,-2.945353984832763672e-01,-5.513769399596096191e-04,1.293832260509499791e-03,-3.218621351492181350e-03,-2.412473335714150971e-02,-1.852509727629892203e-02,-5.127715966217658572e-01
1.724379348754882812e+01,9.552694559097290039e-01,-1.379455160349607468e-02,-3.435256658121943474e-03,-2.953951358795166016e-01,-3.291297553007203501e-04,1.095516799190949251e-03,-3.165198204627751519e-03,-2.432791105852332228e-02,-1.782197050374404942e-02,-5.139053908303469198e-01
1.725405979156494141e+01,9.550083875656127930e-01,-1.375600788742303848e-02,-3.155846614390611649e-03,-2.962429225444793701e-01,-1.171262775595808723e-04,9.548759646335873040e-04,-3.104330265381201586e-03,-2.440683446906624990e-02,-1.719495996202525037e-02,-5.150196942963055635e-01
1.726432919502258301e+01,9.547588229179382324e-01,-1.368044689297676086e-02,-2.970287809148430824e-03,-2.970515787601470947e-01,9.038139582063625102e-05,7.586912908018575603e-04,-3.015600204443592922e-03,-2.436080678976869709e-02,-1.675539864847409854e-02,-5.160784608529667139e-01
1.727456736564636230e+01,9.545174241065979004e-01,-1.356437802314758301e-02,-2.815112238749861717e-03,-2.978332042694091797e-01,2.611167893543111748e-04,5.853899774701428740e-04,-2.898947887112342595e-03,-2.422037052543205352e-02,-1.635448872479192475e-02,-5.170987788479723957e-01
1.728485178947448730e+01,9.542854428291320801e-01,-1.343292463570833206e-02,-2.736751688644289970e-03,-2.985823452472686768e-01,3.950698170428676155e-04,4.423534141276225869e-04,-2.793365584160968206e-03,-2.400570297025748576e-02,-1.611791774999051657e-02,-5.180732776699428221e-01
1.729513692855834961e+01,9.540615081787109375e-01,-1.327918283641338348e-02,-2.704744925722479820e-03,-2.993043065071105957e-01,5.080970576292672411e-04,2.699793408702497763e-04,-2.687742029384633091e-03,-2.372145544405352899e-02,-1.597051350532313618e-02,-5.190095465930411045e-01
1.730539345741271973e+01,9.538481831550598145e-01,-1.310391258448362350e-02,-2.716961549594998360e-03,-2.999910116195678711e-01,5.921845815371955084e-04,1.500158473997072412e-04,-2.576494282134818899e-03,-2.337028563530895581e-02,-1.590757627914681296e-02,-5.198973927563275144e-01
1.731563973426818848e+01,9.536406993865966797e-01,-1.293890830129384995e-02,-2.778293564915657043e-03,-3.006566464900970459e-01,6.423746529335775659e-04,6.479987410065311819e-06,-2.476320325840404742e-03,-2.300954457627934699e-02,-1.596470002178057221e-02,-5.207557989117990171e-01
1.732592272758483887e+01,9.532304406166076660e-01,-1.259401720017194748e-02,-3.040336770936846733e-03,-3.019668757915496826e-01,7.009477415373461173e-04,-3.097131095661082283e-04,-2.405863661337030116e-03,-2.217565660874660366e-02,-1.639042725940730721e-02,-5.224388657589129625e-01
